time,ax,ay,az,aT
28.4230,-1.6581,-2.5282,-4.1754,5.155
28.4590,-1.0753,-2.7610,-5.6014,6.337
28.4600,-0.3956,-3.0985,-7.3024,7.942
28.4600,0.5183,-3.6286,-9.4372,10.124
28.4600,1.6419,-4.3023,-12.2646,13.101
28.4600,2.7785,-4.9430,-14.1409,15.235
28.4610,3.1719,-5.2958,-13.3436,14.702
28.4610,2.8729,-5.0972,-10.8654,12.341
28.4620,2.0920,-4.5526,-8.0584,9.489
28.4680,0.9343,-4.1774,-5.2607,6.782
28.4710,-0.2600,-3.9929,-2.8178,4.894
28.4760,-1.0446,-4.0261,-1.1192,4.307
28.4830,-1.9237,-4.1129,0.1868,4.544
28.4850,-2.4309,-4.2253,1.2648,5.036
28.4900,-2.6487,-4.2915,2.0947,5.461
28.4940,-2.3570,-4.4341,2.4245,5.576
28.5000,-1.7916,-4.6009,2.5430,5.554
28.5040,-1.2524,-4.6825,2.5624,5.483
28.5080,-0.7005,-4.6748,2.5734,5.382
28.5150,-0.0194,-4.7331,2.6952,5.447
28.5200,0.6964,-4.8791,2.9591,5.749
28.5230,1.5175,-5.1868,3.3670,6.367
28.5570,2.3684,-5.4621,3.8236,7.076
28.5570,3.3130,-5.7553,4.4253,7.980
28.5580,4.1353,-6.0041,4.8718,8.768
28.5580,4.8885,-6.1772,5.2271,9.454
28.5580,5.8926,-6.3728,5.9042,10.497
28.5580,6.8084,-6.4064,6.6752,11.487
28.5590,7.3609,-6.1727,7.7975,12.373
28.5630,7.6435,-5.7143,8.8402,13.009
28.5680,7.8151,-5.1045,9.3477,13.210
28.5710,7.6902,-4.1422,9.2282,12.707
28.5750,7.0997,-2.8650,8.6789,11.573
28.5810,6.3376,-1.3465,7.6370,10.015
28.5850,5.4165,0.1417,5.8361,7.964
28.5880,4.4083,1.3203,3.8724,6.014
28.5940,3.6468,2.3142,1.3967,4.539
28.5980,2.7716,3.0425,-2.3205,4.725
28.6020,1.7367,3.1127,-4.2431,5.542
28.6080,0.8938,2.8952,-4.7401,5.626
28.6130,0.5161,2.7523,-4.2458,5.086
28.6190,0.3212,2.6517,-3.3436,4.280
28.6220,0.1307,2.6613,-2.0469,3.360
28.6310,-0.2297,2.6491,-0.8042,2.778
28.6320,-0.6719,2.6150,-0.3664,2.725
28.6370,-1.2204,2.4695,0.0866,2.756
28.6410,-1.5078,2.3056,1.1387,2.981
28.6800,-1.7330,2.0869,2.3391,3.582
28.6810,-1.7485,1.9810,3.4532,4.348
28.6810,-1.5285,1.9323,5.0017,5.576
28.6810,-1.2542,1.9405,6.1653,6.584
28.6810,-1.1308,2.1044,6.9017,7.304
28.6820,-1.1185,2.3161,7.7138,8.131
28.6820,-1.2503,2.4578,8.2049,8.656
28.6820,-1.4307,2.4825,8.4628,8.935
28.6890,-1.8726,2.4919,8.5802,9.129
28.6900,-2.1421,2.4810,8.4476,9.061
28.6940,-2.3472,2.4529,8.2694,8.939
28.7000,-2.5124,2.3830,8.2018,8.903
28.7030,-2.6145,2.4273,8.1885,8.932
28.7080,-2.6279,2.4055,8.2883,9.021
28.7140,-2.6463,2.4232,8.2304,8.979
28.7180,-2.5078,2.2993,7.9641,8.660
28.7220,-2.2475,2.2085,7.3521,7.999
28.7570,-1.8265,2.2028,6.3188,6.937
28.7580,-1.3387,2.3960,5.2744,5.946
28.7580,-0.8851,2.7151,4.7251,5.521
28.7580,-0.3506,3.0543,4.7533,5.661
28.7590,0.1397,3.3601,5.0916,6.102
28.7590,0.4423,3.7367,5.5975,6.745
28.7590,0.5276,4.1289,6.0813,7.369
28.7600,0.4693,4.5461,6.4656,7.918
28.7660,0.3009,4.9501,6.8026,8.418
28.7700,0.0839,5.2958,7.0978,8.856
28.7740,-0.1386,5.5883,7.2934,9.189
28.7780,-0.3532,5.7398,7.3541,9.336
28.7830,-0.4773,5.7292,7.3284,9.314
28.7880,-0.5483,5.5687,7.1914,9.112
28.7930,-0.5371,5.3281,6.9572,8.780
28.7990,-0.4172,4.9596,6.6550,8.310
28.8040,-0.3085,4.5444,6.1704,7.669
28.8080,-0.1561,4.1045,5.4568,6.830
28.8140,0.0273,3.5917,4.4093,5.687
28.8170,0.1955,2.9183,3.0950,4.258
28.8210,0.4305,2.0619,1.5735,2.629
28.8260,0.6831,0.9393,-0.3291,1.207
28.8600,0.9849,-0.4244,-3.0301,3.214
28.8600,1.4268,-2.0710,-7.3170,7.737
28.8600,1.9028,-3.9644,-13.9259,14.604
28.8610,2.4451,-6.2200,-21.8716,22.870
28.8610,2.8014,-8.2045,-27.2973,28.641
28.8610,2.3997,-9.6537,-30.3915,31.978
28.8610,1.4167,-10.1046,-28.6692,30.431
28.8650,-0.0235,-9.4094,-23.8285,25.619
28.8700,-1.7335,-7.8189,-18.1657,19.853
28.8740,-3.0088,-6.0869,-12.9150,14.591
28.8790,-3.4099,-4.8360,-8.6221,10.457
28.8830,-2.7456,-4.1015,-5.5684,7.441
28.8880,-1.2665,-3.7848,-3.1360,5.076
28.8970,0.8224,-3.6190,-0.7571,3.788
28.8980,2.6368,-3.1307,1.5833,4.389
28.9020,3.5526,-2.2524,3.4824,5.461
28.9070,3.6950,-1.2650,4.8804,6.251
28.9140,3.0972,0.0005,5.5589,6.364
28.9180,2.0816,1.4290,5.5761,6.121
28.9210,0.9728,2.8339,5.2028,6.004
28.9250,0.0180,4.0127,4.6882,6.171
28.9580,-0.7200,4.9544,4.0226,6.422
28.9590,-1.1867,5.5324,3.1987,6.500
28.9590,-1.2895,5.6496,2.2530,6.218
28.9590,-0.7545,4.9808,1.3170,5.207
28.9590,0.3353,3.5478,0.7492,3.641
28.9590,1.6360,1.8779,0.8369,2.627
28.9600,2.9809,0.2306,1.6842,3.432
28.9630,4.2294,-1.3377,3.0852,5.403
28.9700,5.1878,-2.6779,4.4333,7.331
28.9740,5.8179,-3.6873,5.3569,8.726
28.9790,6.2579,-4.4503,5.7601,9.599
28.9830,6.5987,-5.0262,6.0417,10.262
28.9880,6.9403,-5.3356,6.1715,10.711
28.9920,7.0932,-5.3018,6.0508,10.725
28.9990,7.0310,-4.9505,5.7016,10.317
29.0020,6.7172,-4.3628,5.0864,9.488
29.0070,6.2414,-3.6004,4.2088,8.345
29.0110,5.7284,-2.8479,3.3825,7.236
29.0170,5.0298,-1.9435,2.2681,5.850
29.0210,3.9750,-0.7783,0.0790,4.051
29.0250,3.0383,0.4935,-0.3651,3.100
29.0600,2.3837,1.4008,0.1414,2.768
29.0610,1.9328,2.0251,0.8084,2.914
29.0610,1.6218,2.4099,1.2053,3.145
29.0610,1.3964,2.5885,1.2823,3.209
29.0610,1.1541,2.5900,1.1601,3.064
29.0620,0.9435,2.4721,1.0955,2.864
29.0620,0.7106,2.2421,0.9781,2.547
29.0640,0.4631,1.9770,0.8580,2.204
29.0690,0.1927,1.6197,0.7893,1.812
29.0740,-0.0188,1.3162,0.7701,1.525
29.0780,-0.2546,1.0382,0.8510,1.366
29.0840,-0.4371,0.6927,0.9947,1.289
29.0860,-0.5804,0.2822,1.1562,1.324
29.0910,-0.6531,-0.0876,1.2761,1.436
29.0960,-0.6573,-0.4958,1.3979,1.622
29.1000,-0.6838,-0.8750,1.5595,1.915
29.1050,-0.7136,-1.1801,1.7106,2.197
29.1110,-0.8067,-1.3896,1.8531,2.453
29.1160,-0.9105,-1.5083,1.9837,2.653
29.1200,-1.0951,-1.5198,2.1321,2.838
29.1250,-1.2459,-1.4839,2.2296,2.954
29.1590,-1.4352,-1.3696,2.2872,3.028
29.1590,-1.5717,-1.2436,2.3321,3.075
29.1600,-1.6845,-1.0723,2.3707,3.100
29.1600,-1.8739,-0.7888,2.4093,3.153
29.1600,-2.0509,-0.5099,2.4734,3.253
29.1600,-2.2130,-0.1900,2.5604,3.390
29.1600,-2.3716,0.1305,2.6199,3.536
29.1630,-2.4117,0.3752,2.5855,3.556
29.1720,-2.4746,0.5775,2.6967,3.705
29.1730,-2.6462,0.8690,2.9105,4.028
29.1780,-2.6416,1.0633,3.0547,4.176
29.1820,-2.5256,1.0865,3.0957,4.140
29.1860,-2.5785,1.2590,3.1571,4.266
29.1900,-2.6373,1.4372,2.9830,4.233
29.1960,-2.8073,1.6331,2.7426,4.251
29.2000,-2.9905,1.8015,2.5264,4.309
29.2050,-3.1767,2.0046,2.3700,4.441
29.2100,-3.3371,2.1113,2.4464,4.645
29.2160,-3.3972,2.0907,2.5809,4.751
29.2190,-3.3597,1.9646,2.7648,4.774
29.2240,-3.2580,1.8048,3.0006,4.783
29.2310,-3.0637,1.5895,3.1988,4.706
29.2370,-2.8657,1.3401,3.3111,4.580
29.2390,-2.7169,1.1087,3.2547,4.382
29.2430,-2.6125,0.8735,2.9835,4.061
29.2780,-2.4712,0.5696,2.6115,3.640
29.2790,-2.2957,0.2565,2.1989,3.189
29.2790,-2.1097,0.0652,1.9081,2.845
29.2790,-1.9182,-0.1123,1.6792,2.552
29.2790,-1.6949,-0.3073,1.4876,2.276
29.2790,-1.3900,-0.5657,1.3140,1.995
29.2800,-0.9872,-0.8901,1.1121,1.733
29.2840,-0.6717,-1.1857,0.8152,1.588
29.2890,-0.4178,-1.4336,0.5452,1.590
29.2920,-0.1972,-1.6033,0.2973,1.643
29.2970,-0.0434,-1.7977,0.0404,1.799
29.3020,0.0053,-1.9020,-0.2524,1.919
29.3040,0.0089,-1.9567,-0.5115,2.022
29.3090,-0.0773,-1.9472,-0.8380,2.121
29.3160,-0.1884,-1.9710,-1.1696,2.300
29.3190,-0.1853,-1.9847,-1.4947,2.491
29.3230,-0.2212,-2.0646,-1.6796,2.671
29.3590,-0.2007,-2.1410,-1.9663,2.914
29.3600,-0.1861,-2.2358,-2.5430,3.391
29.3600,-0.2175,-2.2599,-3.4288,4.112
29.3600,-0.3201,-2.1470,-4.6065,5.092
29.3600,-0.4465,-2.0459,-5.7402,6.110
29.3610,-0.5657,-2.0425,-6.6018,6.934
29.3610,-0.6521,-2.0397,-7.1058,7.421
29.3630,-0.6873,-1.9870,-7.1870,7.488
29.3690,-0.7591,-2.1169,-7.0994,7.447
29.3720,-0.6765,-2.2686,-7.1847,7.565
29.3770,-0.5386,-2.2073,-8.2618,8.568
29.3830,-0.3909,-1.8542,-11.4625,11.618
29.3860,0.3283,-1.5712,-16.1488,16.228
29.3900,0.8416,-1.7606,-17.0743,17.185
29.3940,0.6185,-2.1269,-13.6188,13.798
29.3990,0.2457,-2.7638,-9.4547,9.853
29.4040,-0.2172,-3.4882,-6.1915,7.110
29.4090,-0.6175,-4.0457,-3.9925,5.717
29.4150,-1.0410,-4.5472,-2.8808,5.483
29.4190,-1.4192,-4.8491,-2.5248,5.648
29.4230,-1.8482,-4.8641,-2.6028,5.818
29.4290,-2.2820,-4.7940,-2.9599,6.079
29.4600,-2.5112,-4.7178,-3.1201,6.189
29.4610,-2.6492,-4.5661,-3.1755,6.160
29.4610,-2.7887,-4.4774,-3.1602,6.149
29.4610,-2.9198,-4.4271,-3.0358,6.111
29.4610,-2.9752,-4.3551,-2.8292,5.985
29.4620,-2.9845,-4.1823,-2.5101,5.718
29.4620,-3.0748,-3.7776,-2.2698,5.374
29.4710,-3.0390,-3.2821,-2.1427,4.960
29.4750,-3.0020,-2.7270,-2.0730,4.555
29.4760,-2.9090,-2.2797,-2.0101,4.207
29.4810,-2.7288,-2.0376,-2.0420,3.971
29.4870,-2.3683,-2.0820,-2.0061,3.737
29.4900,-1.9115,-2.4338,-1.9669,3.667
29.4950,-1.4736,-2.9327,-2.0407,3.865
29.5030,-1.0766,-3.4733,-2.1857,4.243
29.5040,-0.6968,-4.0314,-2.3892,4.738
29.5120,-0.3781,-4.6791,-2.6764,5.404
29.5160,-0.2020,-5.3014,-2.9791,6.084
29.5190,-0.2312,-5.7262,-3.4324,6.680
29.5230,-0.3001,-5.8914,-4.0855,7.176
29.5280,-0.4184,-5.8042,-4.8681,7.587
29.5600,-0.5136,-5.5076,-5.8466,8.049
29.5600,-0.4773,-5.0751,-6.8971,8.576
29.5610,-0.2148,-4.6499,-7.9595,9.221
29.5610,0.3490,-4.2719,-9.4006,10.332
29.5610,1.0260,-3.7733,-10.0469,10.781
29.5610,1.4430,-3.1878,-9.3392,9.973
29.5620,1.2648,-2.5974,-7.3475,7.895
29.5680,0.4267,-2.0258,-4.6087,5.052
29.5720,-0.4526,-1.4018,-1.9602,2.452
29.5760,-1.0470,-0.9472,0.0835,1.414
29.5810,-1.2660,-0.7241,1.2446,1.917
29.5860,-0.8561,-0.7600,1.7102,2.058
29.5900,-0.1246,-0.9570,1.9482,2.174
29.5940,0.6351,-1.2632,2.2164,2.629
29.6020,1.5334,-1.7059,2.5941,3.463
29.6040,2.5112,-2.3306,3.1595,4.660
29.6090,3.5371,-2.8895,3.7863,5.933
29.6160,4.4734,-3.3327,4.4198,7.117
29.6190,5.2785,-3.6796,5.0370,8.171
29.6230,5.8731,-3.9753,5.7948,9.158
29.6280,6.3610,-4.0761,6.7909,10.158
29.6610,6.6024,-3.9715,7.6020,10.824
29.6610,6.6881,-3.7493,8.6438,11.554
29.6610,6.7854,-3.5060,9.8347,12.452
29.6620,6.9369,-3.2236,10.8477,13.273
29.6620,6.9843,-2.6815,11.0265,13.325
29.6620,7.2059,-1.9984,9.8430,12.361
29.6620,7.2303,-1.1123,8.1614,10.960
29.6680,6.8581,-0.1740,6.6530,9.557
29.6710,6.3590,0.8565,5.2570,8.295
29.6760,5.8677,1.7236,3.6869,7.141
29.6810,5.1602,2.1691,-1.0333,5.692
29.6850,4.2804,1.8010,-6.8977,8.315
29.6900,3.0795,1.4440,-8.5636,9.214
29.6940,1.8803,1.3505,-8.0356,8.362
29.7000,0.8664,1.3553,-5.8889,6.105
29.7040,0.0437,1.3695,-2.8939,3.202
29.7080,0.0226,1.2003,-0.3919,1.263
29.7130,0.1935,0.9261,1.2528,1.570
29.7180,0.4956,0.6941,2.6396,2.774
29.7230,0.1382,0.7019,3.5464,3.618
29.7280,-0.4192,0.9652,4.3638,4.489
29.7600,-0.8806,1.3938,5.2783,5.530
29.7610,-1.1323,1.7584,6.4048,6.738
29.7610,-1.5512,2.1817,7.2084,7.689
29.7610,-1.8758,2.4148,7.3551,7.965
29.7610,-2.1425,2.6517,7.3098,8.066
29.7620,-2.4855,2.7655,7.1556,8.064
29.7620,-2.8847,2.7636,6.9335,8.002
29.7680,-3.0825,2.7247,6.8038,7.951
29.7730,-3.3095,2.5968,6.6594,7.877
29.7750,-3.5434,2.2946,6.4408,7.701
29.7790,-3.6497,2.0754,6.2447,7.525
29.7850,-3.5635,1.6854,6.1232,7.282
29.7890,-3.4212,1.2927,6.0237,7.047
29.7940,-3.2552,0.9469,6.0179,6.907
29.7990,-3.0691,0.7082,6.0857,6.853
29.8030,-2.9181,0.5735,6.2159,6.891
29.8080,-2.6801,0.7576,6.3307,6.916
29.8130,-2.3211,1.2382,6.3548,6.878
29.8180,-2.2067,1.8611,6.2828,6.914
29.8230,-1.9990,2.5038,6.2906,7.059
29.8270,-1.8532,3.0056,6.3098,7.231
29.8650,-1.7715,3.4787,6.3984,7.495
29.8650,-1.7532,3.9370,6.4500,7.757
29.8660,-1.7474,4.3256,6.5126,8.011
29.8660,-1.7360,4.6016,6.6376,8.261
29.8660,-1.7231,4.8589,6.7244,8.473
29.8670,-1.7313,5.0424,6.7836,8.628
29.8670,-1.7194,5.1528,6.7384,8.655
29.8670,-1.7226,5.2121,6.6793,8.646
29.8710,-1.6953,5.1243,6.5642,8.498
29.8740,-1.6011,4.9190,6.4947,8.303
29.8790,-1.4402,4.6411,6.3665,8.009
29.8850,-1.2837,4.2986,6.1592,7.620
29.8880,-1.0887,3.9244,5.8451,7.124
29.8920,-0.8647,3.4995,5.2418,6.362
29.8970,-0.6023,3.0362,4.1594,5.185
29.9020,-0.3989,2.5358,2.6480,3.688
29.9080,-0.0788,1.8361,0.6786,1.959
29.9120,0.3282,0.8206,-1.9519,2.143
29.9180,0.8212,-0.5738,-5.8329,5.918
29.9220,1.4245,-2.3607,-12.2599,12.566
29.9270,1.9948,-4.9224,-26.6031,27.128
29.9330,2.4182,-8.8734,-36.7665,37.899
29.9380,2.8104,-12.7480,-36.7482,38.998
29.9410,2.9859,-14.6855,-36.6443,39.590
29.9460,2.6841,-13.5975,-26.7504,30.128
29.9820,1.6825,-10.7660,-16.7676,19.997
29.9830,1.0487,-8.4435,-9.2151,12.542
29.9830,1.1596,-7.1605,-4.8811,8.743
29.9830,2.1720,-6.5251,-2.1888,7.217
29.9830,4.1700,-5.8126,0.4402,7.167
29.9840,5.6942,-4.5280,3.3242,7.999
29.9840,6.0687,-3.0413,6.2207,9.207
29.9850,5.2587,-1.1317,8.0840,9.710
29.9890,3.6276,1.0233,8.4974,9.296
29.9940,1.8238,2.9935,8.1925,8.911
29.9980,0.2981,4.6625,7.7241,9.027
30.0040,-0.9151,5.9569,7.3403,9.498
30.0080,-1.8607,6.8299,6.8118,9.824
30.0120,-2.2091,7.0245,6.0577,9.535
30.0180,-1.7336,6.2712,5.1418,8.293
30.0220,-0.6629,4.8885,4.5661,6.722
30.0260,0.6166,3.3004,4.1779,5.360
30.0340,2.1144,1.5441,4.5805,5.276
30.0370,3.6633,-0.2632,5.7698,6.840
30.0410,5.1424,-1.8978,7.0089,8.898
30.0450,6.2249,-3.2797,7.6133,10.367
30.0810,7.0570,-4.3167,7.9407,11.467
30.0820,7.6167,-5.0949,7.9856,12.155
30.0820,7.9292,-5.5662,7.6033,12.315
30.0830,7.7196,-5.4814,6.6048,11.544
30.0830,7.0210,-4.8427,5.2723,10.027
30.0830,6.0849,-3.9478,3.8886,8.230
30.0890,5.2634,-2.9326,2.7862,6.638
30.0890,4.4576,-2.0898,1.8149,5.247
30.0900,3.6370,-1.2033,0.8941,3.934
30.0930,2.9503,-0.3085,0.6780,3.043
30.0970,2.3746,0.4603,0.6693,2.510
30.1020,1.8282,1.1025,0.3920,2.171
30.1060,1.3546,1.6372,0.2303,2.137
30.1110,1.0712,2.0242,0.0485,2.291
30.1170,0.7991,2.1606,-0.0947,2.306
30.1210,0.4934,2.2072,-0.2043,2.271
30.1250,0.1102,2.2336,-0.2549,2.251
30.1300,-0.2558,2.1806,-0.3153,2.218
30.1570,-0.5891,2.0584,-0.3156,2.164
30.1580,-0.8736,1.8604,-0.2403,2.069
30.1580,-1.1444,1.6012,-0.0704,1.969
30.1580,-1.3572,1.2577,0.2048,1.862
30.1590,-1.3920,0.7753,0.5206,1.676
30.1590,-1.3750,0.3216,0.8511,1.649
30.1650,-1.3018,-0.1967,1.1700,1.761
30.1690,-1.2709,-0.7175,1.3887,2.015
30.1730,-1.3661,-1.1834,1.5880,2.406
30.1780,-1.5710,-1.4942,1.7433,2.782
30.1830,-1.6868,-1.7645,1.8298,3.051
30.1870,-1.7769,-2.1071,1.9368,3.369
30.1910,-1.8419,-2.2587,2.1128,3.600
30.1960,-1.9829,-2.2891,2.3896,3.858
30.2010,-2.0904,-2.2175,2.9398,4.234
30.2050,-2.2160,-2.1007,3.3272,4.516
30.2100,-2.3642,-1.8547,3.5654,4.663
30.2170,-2.3786,-1.6753,3.7431,4.741
30.2200,-2.5555,-1.3376,3.8608,4.819
30.2240,-2.7080,-0.9398,3.9739,4.900
30.2300,-2.9331,-0.4577,4.0185,4.996
30.2700,-3.1868,0.0493,3.8876,5.027
30.2700,-3.3441,0.4477,3.6586,4.977
30.2710,-3.4339,0.7995,3.2049,4.765
30.2710,-3.5683,1.0787,2.8234,4.676
30.2710,-3.6974,1.3164,2.5041,4.656
30.2710,-3.7016,1.4291,2.4111,4.643
30.2720,-3.5925,1.4651,2.7184,4.737
30.2720,-3.4711,1.4959,3.0738,4.872
30.2730,-3.4301,1.6172,3.3461,5.057
30.2790,-3.2879,1.7190,3.7379,5.267
30.2830,-3.1285,1.7511,4.0287,5.393
30.2890,-3.0424,1.7325,3.8918,5.235
30.2920,-3.0275,1.6297,3.6135,4.988
30.2980,-3.0214,1.4355,3.2777,4.683
30.3020,-3.0431,1.2218,2.8714,4.359
30.3070,-2.9468,0.9787,2.6111,4.057
30.3110,-2.8095,0.8420,2.4199,3.802
30.3180,-2.6842,0.7469,2.2327,3.570
30.3210,-2.4472,0.5682,2.0218,3.225
30.3250,-2.2136,0.3012,1.8671,2.912
30.3300,-1.9531,-0.0645,1.6385,2.550
30.3750,-1.6564,-0.3879,1.4615,2.243
30.3760,-1.3840,-0.6388,1.2927,1.999
30.3760,-1.1243,-0.8461,1.1273,1.803
30.3760,-0.8726,-0.9983,1.0366,1.683
30.3760,-0.6244,-1.2032,0.9322,1.645
30.3770,-0.3990,-1.3939,0.8130,1.662
30.3770,-0.2110,-1.6210,0.6531,1.760
30.3770,-0.0845,-1.8270,0.5086,1.898
30.3770,0.0187,-1.9880,0.3128,2.013
30.3800,0.2014,-2.1614,0.1113,2.174
30.3830,0.3392,-2.2850,-0.0820,2.311
30.3890,0.3722,-2.3633,-0.2936,2.410
30.3920,0.3368,-2.3245,-0.5557,2.414
30.3970,0.3004,-2.3163,-0.7993,2.469
30.4010,0.2299,-2.2572,-1.0512,2.501
30.4070,0.1375,-2.2570,-1.2330,2.575
30.4100,0.0374,-2.2148,-1.4197,2.631
30.4180,-0.0703,-2.1762,-1.7897,2.818
30.4200,-0.2213,-2.0431,-2.6939,3.388
30.4250,-0.3110,-1.6446,-8.2115,8.380
30.4290,0.0516,-1.4063,-15.3188,15.383
30.4750,0.6377,-1.7083,-18.7531,18.842
30.4760,1.2523,-2.1469,-20.9373,21.084
30.4760,2.1411,-2.8330,-23.0252,23.297
30.4770,3.0553,-3.4721,-22.0087,22.489
30.4770,2.9483,-3.9353,-16.5066,17.223
30.4770,2.2167,-4.2790,-10.8484,11.871
30.4780,1.3155,-4.5366,-6.2102,7.802
30.4780,0.2985,-4.9245,-3.1794,5.869
30.4790,-0.6138,-5.0146,-1.6619,5.318
30.4790,-1.3340,-4.9641,-1.0080,5.238
30.4820,-1.7378,-4.8261,-0.9711,5.221
30.4880,-1.9997,-4.7118,-1.1583,5.248
30.4950,-2.2721,-4.5791,-1.3951,5.299
30.4980,-2.6978,-4.3335,-1.7938,5.411
30.5050,-3.0952,-4.0503,-2.4085,5.638
30.5050,-3.6117,-3.7830,-4.1107,6.652
30.5090,-3.8801,-3.4902,-6.5839,8.401
30.5140,-4.0078,-3.2808,-7.6785,9.262
30.5190,-3.9842,-3.3483,-7.1796,8.867
30.5240,-3.7730,-3.7466,-5.6213,7.738
30.5290,-3.8122,-3.8289,-4.1633,6.821
30.5730,-3.8786,-3.7300,-3.0882,6.204
30.5730,-3.8175,-3.5033,-2.6662,5.827
30.5740,-3.6392,-3.1833,-2.6510,5.514
30.5740,-3.2363,-3.0781,-3.0061,5.384
30.5740,-2.7770,-3.1178,-3.8470,5.677
30.5740,-2.2946,-3.2285,-5.2717,6.594
30.5750,-1.6741,-3.5152,-7.0103,8.019
30.5750,-0.9001,-4.0091,-8.7074,9.628
30.5760,-0.0149,-4.6332,-10.3420,11.332
30.5780,1.0362,-5.2454,-11.5223,12.702
30.5820,1.7021,-5.6030,-10.8405,12.321
30.5870,1.6142,-5.5218,-8.7089,10.437
30.5930,0.9399,-5.1427,-6.3706,8.241
30.5960,0.0239,-4.9047,-3.9612,6.305
30.6000,-1.0331,-4.6589,-1.6692,5.056
30.6050,-1.8965,-4.4538,0.1028,4.842
30.6100,-2.2379,-4.3478,1.5075,5.117
30.6140,-2.3714,-4.1953,1.7695,5.134
30.6200,-2.0671,-4.0610,1.7158,4.869
30.6240,-1.4627,-3.9701,1.8559,4.620
30.6280,-0.7629,-3.8276,2.1500,4.456
30.6730,-0.0106,-3.7397,2.3635,4.424
30.6740,0.5276,-3.7523,2.6050,4.598
30.6740,1.0868,-3.8297,2.8363,4.888
30.6740,1.8928,-4.0434,3.0904,5.430
30.6740,2.7407,-4.3025,3.3510,6.103
30.6750,3.5393,-4.6097,3.6390,6.857
30.6750,4.4048,-4.9457,3.9792,7.726
30.6750,5.2113,-5.2387,4.5585,8.682
30.6760,5.8896,-5.4047,5.1728,9.521
30.6760,6.4354,-5.4077,5.7209,10.168
30.6820,6.9208,-5.2780,6.3081,10.749
30.6890,7.3660,-5.0513,7.1658,11.451
30.6910,7.6833,-4.5471,8.3439,12.220
30.6950,7.6930,-3.7578,9.5537,12.829
30.7010,7.9905,-3.0482,10.0884,13.226
30.7050,7.8468,-1.9153,8.8378,11.973
30.7100,6.9736,-0.4529,7.2131,10.043
30.7140,6.1031,0.8617,5.7745,8.446
30.7190,5.2982,1.9476,4.4199,7.169
30.7250,4.5288,2.8220,3.2052,6.225
30.7280,3.7510,3.5326,1.7632,5.446
30.7360,2.9394,3.7973,-2.4729,5.401
30.7390,1.9555,3.7709,-5.4569,6.915
30.7430,1.0568,3.5265,-5.9636,7.008
30.7800,0.5398,3.3073,-4.8244,5.874
30.7810,0.3722,3.0719,-3.0534,4.347
30.7810,0.4301,2.9302,-1.1762,3.187
30.7810,0.2182,2.7952,0.2367,2.814
30.7820,0.1851,2.8127,1.1490,3.044
30.7820,0.0138,2.5681,1.8321,3.155
30.7820,-0.0172,2.3856,2.7368,3.631
30.7820,-0.1634,2.3129,3.4806,4.182
30.7880,-0.4312,2.3465,4.3127,4.929
30.7940,-0.5394,2.3005,5.3432,5.842
30.7960,-0.5216,2.4809,6.5881,7.059
30.8000,-0.5110,2.6057,7.7578,8.200
30.8050,-0.8719,2.8127,8.3911,8.893
30.8090,-1.3730,2.9432,8.7635,9.346
30.8130,-1.7428,3.0066,8.8505,9.508
30.8190,-2.1174,3.1732,8.8041,9.595
30.8230,-2.5633,3.2137,8.6724,9.597
30.8280,-3.0235,3.2561,8.5100,9.600
30.8320,-3.3359,3.1751,8.2548,9.453
30.8700,-3.4917,3.0705,8.0830,9.325
30.8700,-3.4753,2.9520,8.0057,9.213
30.8710,-3.3980,2.6936,7.9068,9.018
30.8710,-3.2803,2.3404,7.6784,8.671
30.8710,-3.0671,1.9737,7.3261,8.184
30.8720,-2.6934,1.5332,6.6874,7.371
30.8720,-2.1429,1.2066,5.7720,6.274
30.8720,-1.4622,1.3125,5.0598,5.428
30.8760,-1.0073,1.7513,4.8517,5.256
30.8810,-0.8595,2.3184,4.9427,5.527
30.8850,-0.9383,2.9467,5.2095,6.058
30.8930,-1.0496,3.4956,5.5815,6.669
30.8950,-1.1213,3.9296,6.0415,7.294
30.8990,-1.1848,4.2901,6.3991,7.795
30.9060,-1.2330,4.5535,6.6728,8.172
30.9090,-1.2404,4.6801,6.8294,8.372
30.9130,-1.2250,4.7320,6.9181,8.471
30.9200,-1.1767,4.6357,6.9744,8.457
30.9240,-1.0876,4.3941,6.9622,8.304
30.9280,-0.8885,4.0141,6.8176,7.961
30.9330,-0.6823,3.6227,6.4965,7.470
30.9620,-0.4269,3.2168,5.9039,6.737
30.9620,-0.1923,2.8969,4.8636,5.664
30.9630,0.0432,2.4586,3.3275,4.137
30.9630,0.3801,1.8180,1.3312,2.285
30.9630,0.6978,1.0154,-1.2174,1.732
30.9680,1.1565,-0.1258,-4.7636,4.904
30.9710,1.9507,-1.7762,-10.3109,10.643
30.9710,3.2190,-4.1697,-21.6382,22.270
30.9750,4.5130,-7.9839,-36.7909,37.917
30.9800,5.4014,-11.9261,-36.8042,39.063
30.9840,5.5340,-13.9768,-36.7211,39.679
30.9880,4.7272,-12.9979,-26.8589,30.211
30.9930,3.0434,-10.2539,-18.0513,20.982
30.9980,1.5252,-7.5741,-11.5258,13.876
31.0030,0.7597,-5.7950,-7.4391,9.460
31.0080,1.1799,-4.9646,-5.2236,7.302
31.0130,2.7491,-4.1842,-3.2670,5.978
31.0200,4.3135,-3.0325,-0.8497,5.341
31.0220,5.0224,-1.7199,2.2397,5.762
