time,ax,ay,az,aT
1.0870,1.1548,-3.9157,2.1912,4.633
1.0870,1.3623,-4.6034,1.9592,5.185
1.0880,1.4868,-4.8719,1.4385,5.293
1.0890,1.4530,-4.6728,0.8599,4.968
1.0960,1.3693,-4.2649,0.3667,4.494
1.1000,1.1116,-3.6834,0.0854,3.848
1.1040,0.7985,-3.1005,0.1687,3.206
1.1120,0.4459,-2.6673,0.6698,2.786
1.1140,0.1186,-2.3849,1.2380,2.690
1.1180,-0.0410,-2.2733,1.1386,2.543
1.1230,-0.1678,-2.0898,0.7593,2.230
1.1430,-0.2489,-1.5942,0.3626,1.654
1.1440,-0.2553,-1.0168,0.3855,1.117
1.1440,-0.1780,-0.6710,0.7295,1.007
1.1440,-0.0107,-0.2789,0.9724,1.012
1.1490,-0.0347,0.3226,1.0182,1.069
1.1530,-0.1379,0.9075,1.0074,1.363
1.1570,-0.2653,1.4620,0.9004,1.737
1.1620,-0.5715,1.9588,0.7209,2.164
1.1660,-1.4246,2.9889,0.6571,3.376
1.1700,-2.4373,4.1139,0.6760,4.829
1.1750,-2.9038,4.3819,0.6247,5.294
1.1800,-3.1261,4.5929,0.1836,5.559
1.1840,-2.8169,4.1886,-0.0378,5.048
1.1900,-2.6674,4.1058,-0.1135,4.898
1.1950,-2.6866,4.1534,-0.1213,4.948
1.2000,-2.6767,4.1438,-0.2385,4.939
1.2050,-2.5611,4.2015,-0.1509,4.923
1.2090,-2.3944,4.3287,0.1088,4.948
1.2490,-2.3176,4.5912,0.3033,5.152
1.2500,-2.6734,5.4523,0.7538,6.119
1.2500,-3.0882,6.2537,0.7887,7.019
1.2500,-3.3392,6.7491,0.6765,7.560
1.2510,-3.6087,6.9819,0.1614,7.861
1.2510,-3.7218,7.1366,-0.0945,8.049
1.2510,-3.8399,7.2585,-0.1237,8.213
1.2510,-4.0226,7.3175,-0.1667,8.352
1.2520,-4.2565,7.1603,-0.2461,8.334
1.2560,-4.4917,6.9960,-0.3458,8.321
1.2610,-4.6606,6.7530,-0.4158,8.216
1.2650,-4.8034,6.3065,-0.2373,7.931
1.2700,-4.7495,5.3832,-0.2465,7.183
1.2750,-4.6758,4.4095,-0.7623,6.472
1.2800,-3.5821,1.9149,-0.8956,4.159
1.2840,-1.4606,-0.6016,-1.0863,1.917
1.2890,-0.7978,-1.0699,-0.7241,1.518
1.2960,-0.2424,-0.9737,-1.5828,1.874
1.2980,-1.0007,-2.2347,-2.2297,3.312
1.3030,-1.8018,-3.3216,-1.6967,4.142
1.3360,-1.7744,-3.3026,-1.5446,4.055
1.3360,-1.2571,-3.4969,-1.1019,3.876
1.3370,-0.2123,-4.6063,0.5232,4.641
1.3370,2.5731,-7.6479,4.0447,9.026
1.3370,6.6351,-12.1906,8.8202,16.445
1.3370,11.2379,-16.5198,13.1556,23.922
1.3380,14.8184,-19.0015,15.9183,28.880
1.3420,17.0267,-20.0523,17.2048,31.433
1.3480,17.7179,-19.5856,16.9371,31.375
1.3510,15.8723,-16.7511,14.3192,27.158
1.3580,12.0380,-12.1948,10.5193,20.107
1.3600,8.1278,-7.6704,7.1672,13.277
1.3660,5.0194,-3.9939,4.8236,8.026
1.3700,2.7864,-1.1738,3.3688,4.527
1.3740,1.1131,0.9307,2.3637,2.773
1.3800,-0.2103,2.5568,1.6727,3.063
1.3840,-1.1070,3.8600,1.1256,4.170
1.3890,-1.6908,4.7486,0.8952,5.120
1.3980,-2.0217,5.6988,0.8746,6.110
1.4030,-2.3934,6.2855,0.2411,6.730
1.4050,-2.5718,6.6073,-1.2096,7.193
1.4070,-3.9854,7.0149,-14.8554,16.905
1.4500,-5.1771,7.0992,-23.7877,25.359
1.4500,-4.6213,5.9749,-20.8660,22.191
1.4510,-3.2187,4.3872,-16.5572,17.428
1.4510,-2.0483,3.1562,-12.2713,12.835
1.4510,-1.3765,2.3316,-8.1618,8.599
1.4520,-0.7396,1.5980,-4.9976,5.299
1.4520,-0.1640,0.8079,-2.6686,2.793
1.4530,0.4943,-0.0210,-0.7881,0.930
1.4530,1.1438,-0.7357,0.7670,1.561
1.4550,1.6400,-1.2593,2.1573,2.988
1.4600,1.9647,-1.6495,3.5038,4.343
1.4640,2.0475,-1.7440,4.6094,5.337
1.4700,1.9811,-1.5097,5.2170,5.781
1.4740,1.7299,-0.9807,5.1257,5.498
1.4790,1.2951,-0.3436,4.3897,4.590
1.4840,0.9014,0.0247,3.5211,3.635
1.4890,0.6411,0.1487,2.6862,2.766
1.5090,0.4725,0.1320,1.9363,1.998
1.5090,0.3578,0.0010,1.0704,1.129
1.5100,0.2039,-0.1413,-0.0421,0.252
1.5100,-0.0007,-0.3140,-1.3297,1.366
1.5120,-0.1820,-0.4622,-2.4972,2.546
1.5170,-0.3207,-0.5334,-3.3035,3.362
1.5210,-0.5176,-0.5061,-3.7189,3.789
1.5260,-0.6820,-0.4118,-3.7716,3.855
1.5310,-0.8643,-0.2289,-3.5335,3.645
1.5350,-0.9788,-0.0724,-3.0884,3.241
1.5400,-0.9800,-0.0353,-2.5534,2.735
1.5450,-0.8995,-0.0532,-1.9249,2.125
1.5500,-0.7857,-0.1524,-1.3070,1.533
1.5550,-0.6271,-0.2877,-0.6959,0.980
1.5590,-0.5050,-0.4495,-0.2170,0.710
1.5640,-0.5440,-0.4730,0.1435,0.735
1.5690,-0.6385,-0.3916,0.3413,0.823
1.5740,-0.8143,-0.2961,0.4587,0.980
1.5800,-0.9251,-0.2627,0.5108,1.089
1.5840,-0.9253,-0.2767,0.5053,1.090
1.5880,-0.9155,-0.3477,0.5025,1.101
1.6150,-1.0965,-0.2583,0.4164,1.201
1.6160,-1.4418,0.1230,0.3213,1.482
1.6170,-1.7401,0.4758,0.2648,1.823
1.6170,-1.7021,0.5065,0.2824,1.798
1.6180,-1.3428,0.1242,0.3884,1.403
1.6180,-1.1919,-0.0686,0.4584,1.279
1.6220,-1.2351,-0.0199,0.4660,1.320
1.6260,-1.1112,-0.1841,0.5353,1.247
1.6310,-1.0666,-0.2240,0.6157,1.252
1.6360,-1.0649,-0.1585,0.7167,1.293
1.6410,-0.9239,-0.2743,0.7948,1.249
1.6450,-0.8687,-0.2464,0.8378,1.232
1.6510,-0.8825,-0.2135,0.8696,1.257
1.6550,-0.7789,-0.2164,0.8848,1.198
1.6610,-0.6939,-0.2286,0.9214,1.176
1.6660,-0.6659,-0.1377,0.9476,1.166
1.6690,-0.6588,0.0226,0.9511,1.157
1.6740,-0.6488,0.1495,0.9746,1.180
1.6810,-0.6236,0.2527,0.9340,1.151
1.6830,-0.5762,0.3777,0.9223,1.151
1.6880,-0.5259,0.5124,0.9012,1.162
1.6920,-0.4775,0.6017,0.8848,1.172
1.7020,-0.4314,0.6623,0.8634,1.171
1.7030,-0.3900,0.7300,0.8297,1.172
1.7070,-0.3440,0.7593,0.7908,1.149
1.7610,-0.3437,0.7860,0.7326,1.128
1.7610,-0.2763,0.7649,0.6906,1.067
1.7620,-0.1923,0.7103,0.6386,0.974
1.7620,-0.1036,0.6605,0.6199,0.912
1.7620,-0.0029,0.5845,0.5651,0.813
1.7620,0.1072,0.5132,0.5438,0.755
1.7620,0.2338,0.4300,0.5129,0.709
1.7620,0.3597,0.3704,0.4612,0.692
1.7630,0.3989,0.3869,0.4099,0.691
1.7630,0.4372,0.4028,0.3430,0.686
1.7630,0.4317,0.4397,0.2533,0.666
1.7630,0.3777,0.5024,0.1795,0.654
1.7680,0.3690,0.5098,0.0884,0.636
1.7740,0.3795,0.5195,0.0230,0.644
1.7790,0.3615,0.5578,-0.0259,0.665
1.7830,0.3461,0.6081,-0.0677,0.703
1.7890,0.2997,0.6916,-0.0878,0.759
1.7920,0.2298,0.8110,-0.1050,0.849
1.7990,0.2227,0.8301,-0.1480,0.872
1.8030,0.2233,0.7945,-0.1876,0.846
1.8070,0.3032,0.7424,-0.1786,0.822
1.8230,0.2823,0.7834,-0.2043,0.857
1.8250,0.2104,0.8596,-0.2606,0.923
1.8260,0.0201,0.8968,-0.3900,0.978
1.8860,-0.0689,0.8303,-0.5093,0.977
1.8860,-0.2263,0.6411,-0.6020,0.908
1.8870,-0.3801,0.4753,-0.6724,0.907
1.8870,-0.5007,0.3596,-0.6780,0.916
1.8870,-0.5490,0.2657,-0.7096,0.936
1.8880,-0.4724,0.1770,-0.6386,0.814
1.8880,-0.3742,0.1172,-0.5507,0.676
1.8880,-0.2665,0.0956,-0.3906,0.482
1.8890,-0.2764,0.1480,-0.3090,0.440
1.8890,-0.3028,0.2746,-0.2886,0.500
1.8890,-0.3740,0.5185,-0.3342,0.721
1.8890,-0.4847,0.8271,-0.3764,1.030
1.8900,-0.4698,1.0429,-0.3773,1.204
1.8900,-0.3942,1.1060,-0.3109,1.215
1.8920,-0.2655,1.1813,-0.2583,1.238
1.9000,-0.1439,1.1873,-0.1309,1.203
1.9010,0.0087,1.1170,-0.0144,1.117
1.9050,0.2115,0.9395,0.1057,0.969
1.9190,0.4285,0.7027,0.1727,0.841
1.9190,0.6834,0.3900,0.2081,0.814
1.9200,0.9260,0.0612,0.2001,0.949
1.9250,1.1705,-0.2743,0.1465,1.211
1.9650,1.3594,-0.5543,0.0853,1.471
1.9660,1.5193,-0.7909,-0.0315,1.713
1.9660,1.6334,-0.9410,-0.1351,1.890
1.9660,1.6850,-1.0623,-0.2616,2.009
1.9670,1.6861,-1.0712,-0.3733,2.032
1.9670,1.6035,-1.0228,-0.4634,1.958
1.9670,1.4585,-0.8768,-0.5227,1.780
1.9680,1.2798,-0.6905,-0.5660,1.561
1.9680,1.0602,-0.4093,-0.5766,1.274
1.9720,0.8498,-0.1264,-0.5068,0.998
1.9770,0.6510,0.1365,-0.4309,0.793
1.9820,0.4758,0.3725,-0.3461,0.696
1.9870,0.3241,0.5886,-0.2975,0.735
1.9920,0.1770,0.7948,-0.2680,0.857
2.0350,0.0701,0.9598,-0.2718,1.000
2.0350,-0.0632,1.0648,-0.2630,1.099
2.0350,-0.1922,1.1288,-0.2796,1.179
2.0360,-0.2427,1.1520,-0.2733,1.209
2.0360,-0.2961,1.1105,-0.2918,1.186
2.0360,-0.3906,1.0571,-0.2677,1.158
2.0360,-0.4161,0.9082,-0.2557,1.031
2.0360,-0.3607,0.7070,-0.2485,0.832
2.0370,-0.2772,0.4296,-0.2435,0.566
2.0390,-0.2161,0.1405,-0.2263,0.343
2.0450,-0.1729,-0.1150,-0.2351,0.314
2.0560,-0.1786,-0.3180,-0.2487,0.441
2.0560,-0.2450,-0.4732,-0.2765,0.600
2.0580,-0.3168,-0.5734,-0.2975,0.719
2.0650,-0.4154,-0.6546,-0.3404,0.847
2.0670,-0.5431,-0.7214,-0.3407,0.965
2.0710,-0.6804,-0.7500,-0.3255,1.064
2.0760,-0.8344,-0.7643,-0.3186,1.176
2.0820,-0.9547,-0.7476,-0.2944,1.248
2.0850,-1.0679,-0.7573,-0.2791,1.339
2.0910,-1.1522,-0.7217,-0.2711,1.386
2.1100,-1.2653,-0.6912,-0.3040,1.473
